> S at  1164.19 seconds at    67.68 degrees for a    160.0 km deep source in the ak135 model with rayParam   11.908 s/deg.
    0.00   160.0     0.0    -20.00     28.00
    0.27   210.0    12.8    -19.83     28.22
    1.44   410.0    63.0    -19.08     29.18
    3.42   660.0   123.0    -17.81     30.77
   33.45  1733.8   560.9      2.52     53.21
   63.49   660.0   998.8     22.44     76.37
   65.46   410.0  1058.8     23.66     78.06
   66.64   210.0  1109.0     24.37     79.09
   66.91   160.0  1121.8     24.53     79.32
   67.55    35.0  1153.7     24.92     79.88
   67.61    20.0  1158.0     24.96     79.94
   67.68     0.0  1164.2     25.00     80.00
> SKKS at  1222.42 seconds at    67.68 degrees for a    160.0 km deep source in the ak135 model with rayParam    7.587 s/deg.
    0.00   160.0     0.0    -20.00     28.00
    0.15   210.0    11.7    -19.90     28.13
    0.83   410.0    56.9    -19.47     28.68
    1.90   660.0   108.0    -18.79     29.55
   30.99  2891.5   571.7      0.82     51.43
   32.30  2892.8   581.6      1.72     52.38
   33.61  2891.5   591.6      2.62     53.33
   34.92  2892.8   601.5      3.52     54.28
   36.23  2891.5   611.5      4.42     55.24
   65.33   660.0  1075.2     23.57     77.94
   66.39   410.0  1126.2     24.22     78.87
   67.07   210.0  1171.5     24.63     79.46
   67.22   160.0  1183.2     24.73     79.60
   67.60    35.0  1212.4     24.95     79.93
   67.64    20.0  1216.5     24.97     79.96
   67.68     0.0  1222.4     25.00     80.00
